id,label
1,truck
2,airplane
3,automobile
4,ship
5,airplane
6,cat
7,airplane
8,truck
9,bird
10,horse
11,bird
12,truck
13,bird
14,ship
15,cat
16,airplane
17,deer
18,deer
19,airplane
20,dog
21,bird
22,ship
23,frog
24,automobile
25,frog
26,truck
27,automobile
28,cat
29,deer
30,airplane
31,bird
32,horse
33,dog
34,bird
35,deer
36,cat
37,cat
38,dog
39,ship
40,cat
41,frog
42,frog
43,bird
44,deer
45,horse
46,automobile
47,frog
48,bird
49,airplane
50,truck
51,bird
52,horse
53,cat
54,frog
55,ship
56,ship
57,frog
58,airplane
59,airplane
60,truck
61,bird
62,cat
63,deer
64,frog
65,ship
66,truck
67,ship
68,airplane
69,bird
70,bird
71,truck
72,frog
73,truck
74,cat
75,frog
76,horse
77,airplane
78,truck
79,horse
80,cat
81,bird
82,deer
83,ship
84,cat
85,deer
86,frog
87,horse
88,bird
89,frog
90,truck
91,automobile
92,airplane
93,frog
94,horse
95,automobile
96,frog
97,truck
98,bird
99,truck
100,bird
101,deer
102,airplane
103,cat
104,cat
105,ship
106,airplane
107,automobile
108,frog
109,frog
110,frog
111,horse
112,cat
113,deer
114,airplane
115,truck
116,horse
117,truck
118,horse
119,truck
120,frog
121,deer
122,truck
123,horse
124,airplane
125,ship
126,cat
127,airplane
128,bird
129,airplane
130,airplane
131,ship
132,automobile
133,frog
134,truck
135,automobile
136,dog
137,cat
138,frog
139,bird
140,automobile
141,bird
142,dog
143,bird
144,deer
145,automobile
146,automobile
147,frog
148,automobile
149,cat
150,frog
151,cat
152,dog
153,cat
154,ship
155,truck
156,horse
157,airplane
158,ship
159,truck
160,frog
161,cat
162,frog
163,frog
164,cat
165,frog
166,automobile
167,frog
168,frog
169,truck
170,frog
171,frog
172,cat
173,automobile
174,frog
175,bird
176,ship
177,cat
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,frog
185,bird
186,dog
187,ship
188,cat
189,bird
190,bird
191,automobile
192,ship
193,airplane
194,cat
195,truck
196,deer
197,automobile
198,cat
199,ship
200,frog
201,automobile
202,bird
203,airplane
204,cat
205,airplane
206,bird
207,cat
208,automobile
209,bird
210,horse
211,automobile
212,horse
213,truck
214,frog
215,cat
216,automobile
217,dog
218,bird
219,cat
220,automobile
221,frog
222,automobile
223,frog
224,deer
225,automobile
226,automobile
227,horse
228,cat
229,horse
230,truck
231,ship
232,bird
233,cat
234,ship
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,automobile
242,ship
243,deer
244,cat
245,horse
246,horse
247,deer
248,truck
249,deer
250,ship
251,frog
252,airplane
253,frog
254,airplane
255,frog
256,deer
257,frog
258,ship
259,deer
260,airplane
261,cat
262,automobile
263,horse
264,deer
265,frog
266,deer
267,cat
268,bird
269,bird
270,automobile
271,dog
272,truck
273,dog
274,dog
275,horse
276,bird
277,frog
278,horse
279,dog
280,cat
281,automobile
282,bird
283,cat
284,automobile
285,airplane
286,cat
287,ship
288,truck
289,bird
290,bird
291,automobile
292,bird
293,airplane
294,airplane
295,deer
296,bird
297,frog
298,deer
299,ship
300,truck
301,truck
302,cat
303,frog
304,deer
305,bird
306,automobile
307,airplane
308,dog
309,frog
310,deer
311,automobile
312,frog
313,deer
314,truck
315,truck
316,cat
317,ship
318,cat
319,bird
320,frog
321,horse
322,horse
323,ship
324,dog
325,horse
326,ship
327,frog
328,cat
329,deer
330,truck
331,frog
332,airplane
333,bird
334,bird
335,cat
336,deer
337,dog
338,frog
339,automobile
340,ship
341,ship
342,frog
343,automobile
344,bird
345,ship
346,automobile
347,airplane
348,horse
349,cat
350,truck
351,cat
352,truck
353,frog
354,cat
355,airplane
356,bird
357,airplane
358,deer
359,airplane
360,frog
361,horse
362,airplane
363,airplane
364,airplane
